0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-570.0003,29.231855,-28.57205,-1.171939,-8.968902,-10.66074,-13.617955,-19.157396,-4.766867,-3.6555245,-10.312673,-5.831186,-4.9526553,2.8734565,-8.8712435,-3.4533653,-3.424304,0.08703395,5.244877,12.593621,14.377221,9.6154375,4.6893673,4.224718,-1.8333895,-2.7912457,1.0087289,0.082949184,0.83820546,-1.7631949,-4.955723,0.33948445,-1.594678,-2.310498,-2.0561712,-1.67424,-3.6028585,1.6571318,0.41518858,3.3745399,fearful
-542.2605,33.78299,-3.803622,3.0919855,-9.681706,-6.023739,-8.644806,-11.424565,-11.615021,-1.2892501,-7.2457585,-5.9468737,-3.1478207,-5.415154,-6.079907,-5.4485435,-2.2839818,-6.972795,-5.977274,-2.3868945,-4.616719,-0.1833236,-2.326657,0.34996998,-3.7624125,-1.2105949,-1.5949194,-2.0967317,1.3954656,3.8844702,3.6054177,3.812211,-0.6496133,1.0712968,-0.3289202,3.0586956,0.41418192,2.2374346,-1.0377077,2.285688,angry
-687.7066,39.08859,-5.8601866,6.923982,-10.534793,-5.880984,-6.7571507,-8.113562,-3.6856682,-5.643714,-4.794427,-6.867075,-3.5609748,-4.2058883,-5.5144644,-2.80553,-1.8841577,0.18413655,0.056202687,3.8838582,0.95925945,1.5213237,0.15894765,1.2434775,-1.5404708,0.6519547,-1.1313415,0.38103738,-2.2725997,-0.60747963,-1.6549406,1.2226199,-2.009899,0.80791867,-0.33611685,1.3321712,-0.04973646,1.4307611,0.90839624,2.2472017,surprised
-550.81915,37.23245,-5.966861,4.732355,-2.0085783,-9.404682,-14.451254,-14.265596,-8.414461,0.75880015,-12.590664,-7.83936,1.5324706,-6.7204256,-6.0384617,-4.2860065,-5.639622,-3.1163664,-4.2891555,-4.3000746,-0.21320096,0.738054,1.9807006,4.093762,1.0255638,5.7975883,0.36277756,1.6387725,-0.120878346,-0.3586246,-0.47404823,0.5731844,-1.2606056,0.8021692,-1.1039237,1.285521,-0.39798108,1.5259098,-0.47698835,0.913607,fearful
-573.29675,45.841038,-9.815438,4.2864203,-8.331691,-3.4894345,-5.228768,-11.024238,-5.6289387,-1.9968009,-5.772927,-2.414227,-7.066335,-0.0021707031,-5.819954,-4.5974193,-3.299743,-4.7078238,-5.5506687,-2.033092,-1.7223029,-1.8036995,0.43000597,0.0836382,1.1157616,1.449109,3.3008156,4.0176506,2.9186685,3.7454376,0.6649642,2.5620067,0.3455405,2.1196938,1.1288085,2.0091033,0.07874247,0.98039937,-0.71603537,-1.303088,angry
-710.5711,53.051273,-14.801418,8.403964,-0.16601409,-10.802906,-11.535567,-10.901442,-6.1201296,0.14787795,-8.3742285,-2.5629935,-5.523456,-4.261972,-4.936762,-4.1680517,-2.681928,-4.257407,-4.9969654,-4.868286,-1.0192888,-1.6492277,-3.7723851,0.22445504,-2.6512053,1.6840878,1.8222123,7.4288354,5.7038484,8.724299,2.9386637,6.8647738,5.9232955,9.140815,6.073258,7.6757917,3.8990445,3.1170995,2.066025,5.3287687,neutral
-671.1921,50.523384,-1.9440012,5.948215,3.635085,-5.097415,-5.872726,-11.157332,-9.334851,-4.9375777,-8.197027,-3.9106116,-10.504101,-3.2749612,-1.6796199,-9.246501,-7.9949584,-4.561446,-5.3938985,-6.3217907,-6.150981,-3.8581214,-7.241627,-4.031387,-2.6039824,-0.43759024,-2.3611393,1.5575306,-2.1383386,4.8209767,3.6738296,7.675037,6.45156,7.37092,3.779217,3.3836868,3.0678174,3.9105508,0.30672497,-1.437747,calm
-676.2738,52.397697,5.182034,6.0620675,4.50157,-2.6766357,-2.3044927,-11.054174,-4.1322837,-0.53851163,-7.702116,-2.7392614,-6.709433,-3.0448232,-0.52132905,-9.421702,-5.0288897,-2.5986009,-6.62875,-4.584383,-4.015755,-4.1581244,-6.8415084,-3.4354632,-4.887906,-1.0681586,-2.2955294,1.5131232,-1.6343261,3.6243896,1.2595671,3.3058488,1.8044683,4.432439,2.623775,5.7948914,3.5112934,7.3272357,3.2543888,5.7722154,neutral
-699.43115,64.44927,-4.012507,5.07022,4.282751,-6.839473,-19.00791,-12.2518425,-3.122242,4.5190306,-6.253594,-5.268788,-5.2041097,-2.7283094,-5.8466973,0.27995345,-3.0403144,-2.8453887,-2.936738,-5.6559057,-1.3099773,-0.5064791,-4.9322057,-0.11231134,-6.1008224,-0.73560554,-3.962237,2.0107422,-0.22997,7.955152,3.3391433,11.44825,7.759994,12.144267,8.246518,12.600813,8.31518,11.09167,5.668163,6.5726347,calm
-698.56964,52.51681,-9.7409935,11.873466,4.272354,-11.44193,-14.926325,-9.880668,-0.09415396,-1.6417108,-5.088742,-3.0375338,-6.408349,-1.9309863,-4.007391,-2.587479,-8.0333185,-4.451789,-3.303036,-7.0215907,-3.1868525,-3.3389616,-5.07754,0.69912004,-3.8776207,2.7140913,1.0604848,5.188861,-0.79937935,4.2088213,-0.74183166,6.8250365,5.2066474,10.648289,7.0415683,7.793924,5.57594,7.859823,7.618406,6.986484,calm
